"Date","Time (GMT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2023/08/01","00:00","4.1","226","7.4","17","1013.7","-","-"
"2023/08/01","00:06","5","239","11.8","16.6","1013.6","-","-"
"2023/08/01","00:12","4.5","252","9.1","16.7","1013.7","-","-"
"2023/08/01","00:18","3.7","251","8.1","16.8","1013.7","-","-"
"2023/08/01","00:24","4.3","258","7.2","16.8","1013.7","-","-"
"2023/08/01","00:30","1.6","203","9.1","17","1013.5","-","-"
"2023/08/01","00:36","3.5","249","6.4","17.2","1013.5","-","-"
"2023/08/01","00:42","2.2","234","8.3","17.2","1013.4","-","-"
"2023/08/01","00:48","3.2","202","5.7","16.6","1013.5","-","-"
"2023/08/01","00:54","3","228","6.7","16.5","1013.6","-","-"
"2023/08/01","01:00","2.8","223","5.8","16.6","1013.6","-","-"
"2023/08/01","01:06","2.2","227","5.9","16.7","1013.6","-","-"
"2023/08/01","01:12","2.7","184","8.5","16.5","1013.6","-","-"
"2023/08/01","01:18","2.1","190","6.4","16.2","1013.7","-","-"
"2023/08/01","01:24","3.1","214","5.6","16.1","1013.7","-","-"
"2023/08/01","01:30","2.8","233","6.1","15.8","1013.7","-","-"
"2023/08/01","01:36","1.5","188","4.4","15.9","1013.8","-","-"
"2023/08/01","01:42","3.9","207","6","15.6","1013.7","-","-"
"2023/08/01","01:48","2.6","231","6.9","15.8","1013.7","-","-"
"2023/08/01","01:54","4","261","6.8","15.4","1013.8","-","-"
"2023/08/01","02:00","2.9","254","6.7","15.5","1013.8","-","-"
"2023/08/01","02:06","4.1","276","8.6","15.4","1013.8","-","-"
"2023/08/01","02:12","2.9","263","6","15.4","1013.9","-","-"
"2023/08/01","02:18","4.7","248","7.4","15.2","1014","-","-"
"2023/08/01","02:24","1.1","222","7.1","15.5","1014","-","-"
"2023/08/01","02:30","2.3","248","5.8","15.3","1014","-","-"
"2023/08/01","02:36","0.7","64","3.6","15.2","1014.2","-","-"
"2023/08/01","02:42","0.8","41","1.8","15","1014.2","-","-"
"2023/08/01","02:48","1.1","283","4.5","15","1014.1","-","-"
"2023/08/01","02:54","1.1","216","2.9","15","1014.1","-","-"
"2023/08/01","03:00","3.1","280","6.7","14.9","1014.1","-","-"
"2023/08/01","03:06","3","235","5","14.8","1014.1","-","-"
"2023/08/01","03:12","2.4","234","6","14.7","1014.1","-","-"
"2023/08/01","03:18","1.7","221","5.2","14.6","1014.1","-","-"
"2023/08/01","03:24","3.2","253","6.1","14.6","1014.1","-","-"
"2023/08/01","03:30","3.5","260","5","14.5","1014.1","-","-"
"2023/08/01","03:36","1.6","254","5.5","14.6","1014.2","-","-"
"2023/08/01","03:42","3.2","249","6.5","14.5","1014.1","-","-"
"2023/08/01","03:48","3.1","266","6.3","14.4","1014.2","-","-"
"2023/08/01","03:54","2.9","227","5.3","14.4","1014.2","-","-"
"2023/08/01","04:00","2.7","237","8.7","14.4","1014.2","-","-"
"2023/08/01","04:06","3.9","249","5.5","14.4","1014.3","-","-"
"2023/08/01","04:12","2.2","246","6.7","14.4","1014.3","-","-"
"2023/08/01","04:18","3.8","249","6.6","14.3","1014.2","-","-"
"2023/08/01","04:24","3.8","245","7.3","14.3","1014.3","-","-"
"2023/08/01","04:30","1.3","281","6.3","14.3","1014.4","-","-"
"2023/08/01","04:36","1.3","253","2.5","14.4","1014.4","-","-"
"2023/08/01","04:42","2.3","255","5.4","14.3","1014.3","-","-"
"2023/08/01","04:48","2.5","259","4.6","14.3","1014.3","-","-"
"2023/08/01","04:54","0.6","306","4.2","14.4","1014.4","-","-"
"2023/08/01","05:00","1.7","214","4.8","14.4","1014.3","-","-"
"2023/08/01","05:06","2.1","220","5.3","14.3","1014.4","-","-"
"2023/08/01","05:12","1.6","120","3.6","14.2","1014.5","-","-"
"2023/08/01","05:18","0.7","86","4.8","14.2","1014.5","-","-"
"2023/08/01","05:24","0.8","141","2.7","14.3","1014.5","-","-"
"2023/08/01","05:30","0.6","90","2.7","14.2","1014.6","-","-"
"2023/08/01","05:36","1.5","203","4.4","14.2","1014.7","-","-"
"2023/08/01","05:42","0.7","219","3.8","14.2","1014.6","-","-"
"2023/08/01","05:48","1.7","258","4.6","14.2","1014.6","-","-"
"2023/08/01","05:54","2","126","3.6","14.2","1014.6","-","-"
"2023/08/01","06:00","0.9","311","2.7","14.3","1014.7","-","-"
"2023/08/01","06:06","1.6","134","3.3","14.3","1014.7","-","-"
"2023/08/01","06:12","0.8","153","3.2","14.4","1014.7","-","-"
"2023/08/01","06:18","0.7","23","3","14.4","1014.7","-","-"
"2023/08/01","06:24","2","220","3.4","14.3","1014.8","-","-"
"2023/08/01","06:30","2.3","151","3.5","14.3","1014.7","-","-"
"2023/08/01","06:36","0.6","231","2.5","14.3","1014.7","-","-"
"2023/08/01","06:42","0.5","184","3","14.3","1014.6","-","-"
"2023/08/01","06:48","0.9","141","2.7","14.3","1014.6","-","-"
"2023/08/01","06:54","3.2","155","5","14.3","1014.6","-","-"
"2023/08/01","07:00","1.6","84","2.4","14.3","1014.6","-","-"
"2023/08/01","07:06","2.1","245","4.3","14.3","1014.5","-","-"
"2023/08/01","07:12","0.7","344","3.5","14.2","1014.4","-","-"
"2023/08/01","07:18","0.7","262","3.9","14.2","1014.4","-","-"
"2023/08/01","07:24","1.8","226","4.3","14.1","1014.5","-","-"
"2023/08/01","07:30","1.5","71","5.2","14.1","1014.5","-","-"
"2023/08/01","07:36","0.5","231","3.3","14.1","1014.5","-","-"
"2023/08/01","07:42","1","221","2.8","14.1","1014.6","-","-"
"2023/08/01","07:48","1","202","3.6","14.1","1014.5","-","-"
"2023/08/01","07:54","1.5","255","2","14.2","1014.6","-","-"
"2023/08/01","08:00","0.9","348","4.5","14.1","1014.5","-","-"
"2023/08/01","08:06","1.9","177","4.6","13.9","1014.5","-","-"
"2023/08/01","08:12","0.2","81","2.9","14.1","1014.6","-","-"
"2023/08/01","08:18","0.5","60","1.5","14.2","1014.6","-","-"
"2023/08/01","08:24","2","280","3.9","14","1014.5","-","-"
"2023/08/01","08:30","0.7","250","4.8","14","1014.5","-","-"
"2023/08/01","08:36","1.4","253","2.9","14","1014.5","-","-"
"2023/08/01","08:42","1.1","90","2.6","14","1014.4","-","-"
"2023/08/01","08:48","1.2","151","2.3","14","1014.5","-","-"
"2023/08/01","08:54","1.4","227","4.4","14","1014.5","-","-"
"2023/08/01","09:00","1.3","260","2.9","13.9","1014.6","-","-"
"2023/08/01","09:06","0.9","214","2.1","13.9","1014.6","-","-"
"2023/08/01","09:12","0.6","39","1.3","13.9","1014.5","-","-"
"2023/08/01","09:18","1.1","126","1.7","13.8","1014.5","-","-"
"2023/08/01","09:24","0.3","331","1.4","13.9","1014.5","-","-"
"2023/08/01","09:30","0.3","189","1.3","13.9","1014.4","-","-"
"2023/08/01","09:36","1","278","2.7","13.9","1014.4","-","-"
"2023/08/01","09:42","0.8","300","3.2","13.9","1014.4","-","-"
"2023/08/01","09:48","1.2","11","2.6","14","1014.5","-","-"
"2023/08/01","09:54","1.1","114","3.4","14","1014.5","-","-"
"2023/08/01","10:00","2","266","4.4","13.8","1014.4","-","-"
"2023/08/01","10:06","0.8","237","4.3","13.8","1014.3","-","-"
"2023/08/01","10:12","1","213","1.8","13.8","1014.3","-","-"
"2023/08/01","10:18","1.2","261","2.4","13.9","1014.3","-","-"
"2023/08/01","10:24","1.3","313","2.6","13.9","1014.2","-","-"
"2023/08/01","10:30","0.3","77","2.4","13.8","1014.2","-","-"
"2023/08/01","10:36","1.6","139","5","13.8","1014.2","-","-"
"2023/08/01","10:42","2.6","153","4","13.8","1014.2","-","-"
"2023/08/01","10:48","0.6","279","2.3","13.9","1014.3","-","-"
"2023/08/01","10:54","1.1","359","2.3","13.8","1014.3","-","-"
"2023/08/01","11:00","1.1","199","2.6","13.8","1014.2","-","-"
"2023/08/01","11:06","1.2","258","2.3","13.8","1014.2","-","-"
"2023/08/01","11:12","0.2","274","2.4","13.9","1014.2","-","-"
"2023/08/01","11:18","2.4","254","4","13.7","1014.2","-","-"
"2023/08/01","11:24","1.1","143","2.9","13.8","1014.2","-","-"
"2023/08/01","11:30","0.8","11","1.7","13.8","1014.3","-","-"
"2023/08/01","11:36","1.9","118","3.6","13.8","1014.3","-","-"
"2023/08/01","11:42","0.1","100","1.8","13.8","1014.4","-","-"
"2023/08/01","11:48","1.3","97","4.8","13.7","1014.5","-","-"
"2023/08/01","11:54","1.9","160","2.7","13.7","1014.5","-","-"
"2023/08/01","12:00","1.8","160","4.3","13.7","1014.4","-","-"
"2023/08/01","12:06","1.3","351","2.3","13.7","1014.5","-","-"
"2023/08/01","12:12","1.7","26","2.8","13.6","1014.5","-","-"
"2023/08/01","12:18","1.4","116","2","13.7","1014.5","-","-"
"2023/08/01","12:24","1.7","109","2.4","13.6","1014.6","-","-"
"2023/08/01","12:30","1.3","128","3.3","13.6","1014.7","-","-"
"2023/08/01","12:36","0.8","289","2.6","13.6","1014.7","-","-"
"2023/08/01","12:42","3.4","138","4.4","13.4","1014.7","-","-"
"2023/08/01","12:48","2.7","143","3.9","13.5","1014.9","-","-"
